#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
prometheum_fluid                                  (taiga:molten_prometheum_fluid)                                                  = Prometheum Fluid
duranite_fluid                                    (taiga:molten_duranite_fluid)                                                    = Duranite Fluid
valyrium_fluid                                    (taiga:molten_valyrium_fluid)                                                    = Valyrium Fluid
vibranium_fluid                                   (taiga:molten_vibranium_fluid)                                                   = Vibranium Fluid
karmesine_fluid                                   (taiga:molten_karmesine_fluid)                                                   = Karmesine Fluid
jauxum_fluid                                      (taiga:molten_jauxum_fluid)                                                      = Jauxum Fluid
ovium_fluid                                       (taiga:molten_ovium_fluid)                                                       = Ovium Fluid
terrax_fluid                                      (taiga:molten_terrax_fluid)                                                      = Terrax Fluid
palladium_fluid                                   (taiga:molten_palladium_fluid)                                                   = Palladium Fluid
uru_fluid                                         (taiga:molten_uru_fluid)                                                         = Uru Fluid
osram_fluid                                       (taiga:molten_osram_fluid)                                                       = Osram Fluid
abyssum_fluid                                     (taiga:molten_abyssum_fluid)                                                     = Abyssum Fluid
eezo_fluid                                        (taiga:molten_eezo_fluid)                                                        = Eezo Fluid
triberium_fluid                                   (taiga:molten_triberium_fluid)                                                   = Triberium Fluid
fractum_fluid                                     (taiga:molten_fractum_fluid)                                                     = Fractum Fluid
violium_fluid                                     (taiga:molten_violium_fluid)                                                     = Violium Fluid
proxii_fluid                                      (taiga:molten_proxii_fluid)                                                      = Proxii Fluid
tritonite_fluid                                   (taiga:molten_tritonite_fluid)                                                   = Tritonite Fluid
ignitz_fluid                                      (taiga:molten_ignitz_fluid)                                                      = Ignitz Fluid
imperomite_fluid                                  (taiga:molten_imperomite_fluid)                                                  = Imperomite Fluid
solarium_fluid                                    (taiga:molten_solarium_fluid)                                                    = Solarium Fluid
nihilite_fluid                                    (taiga:molten_nihilite_fluid)                                                    = Nihilite Fluid
adamant_fluid                                     (taiga:molten_adamant_fluid)                                                     = Adamant Fluid
dyonite_fluid                                     (taiga:molten_dyonite_fluid)                                                     = Dyonite Fluid
nucleum_fluid                                     (taiga:molten_nucleum_fluid)                                                     = Nucleum Fluid
lumix_fluid                                       (taiga:molten_lumix_fluid)                                                       = Lumix Fluid
seismum_fluid                                     (taiga:molten_seismum_fluid)                                                     = Seismum Fluid
astrium_fluid                                     (taiga:molten_astrium_fluid)                                                     = Astrium Fluid
niob_fluid                                        (taiga:molten_niob_fluid)                                                        = Niob Fluid
yrdeen_fluid                                      (taiga:molten_yrdeen_fluid)                                                      = Yrdeen Fluid
iox_fluid                                         (taiga:molten_iox_fluid)                                                         = Iox Fluid
meteorite_fluid                                   (taiga:molten_meteorite_fluid)                                                   = Meteorite Fluid
obsidiorite_fluid                                 (taiga:molten_obsidiorite_fluid)                                                 = Obsidiorite Fluid
magma_fluid                                       (taiga:molten_magma_fluid)                                                       = Magma Fluid
nitronite_fluid                                   (taiga:molten_nitronite_fluid)                                                   = Nitronite Fluid
dilithium_fluid                                   (taiga:molten_dilithium_fluid)                                                   = Dilithium Fluid
sakura.hot_spring_water                           (sakura:hot_spring_water)                                                        = Hot Spring Water
sakura.food_oil                                   (sakura:foodoil)                                                                 = Food Oil
sakura.yeast_liquid                               (sakura:yeast_liquid)                                                            = Yeast Liquid
sakura.maple_syrup                                (sakura:maple_syrup)                                                             = Maple Syrup
sakura.grape_fluid                                (sakura:grape_fluid)                                                             = Grape Fluid
sakura.red_wine                                   (sakura:red_wine)                                                                = Red Wine
sakura.green_grape_fluid                          (sakura:green_grape_fluid)                                                       = Green Grape Fluid
sakura.white_wine                                 (sakura:white_wine)                                                              = White Wine
sakura.champagne                                  (sakura:champagne)                                                               = Champagne
sakura.rum                                        (sakura:rum)                                                                     = Rum
sakura.doburoku                                   (sakura:doburoku)                                                                = Doburoku
sakura.sake                                       (sakura:sake)                                                                    = Sake
sakura.shouchu                                    (sakura:shouchu)                                                                 = Shouchu
sakura.beer                                       (sakura:beer)                                                                    = Beer
sakura.vodka                                      (sakura:vodka)                                                                   = Vodka
sakura.brandy                                     (sakura:brandy)                                                                  = Brandy
sakura.whiskey                                    (sakura:whiskey)                                                                 = Whiskey
sakura.liqueur                                    (sakura:liqueur)                                                                 = Liqueur
sakura.cocoa_liqueur                              (sakura:cocoa_liqueur)                                                           = Cocoa Liqueur
oliveoil                                          (rustic:olive_oil)                                                               = Olive Oil
ironberryjuice                                    (rustic:ironberry_juice)                                                         = Ironberry Juice
wildberryjuice                                    (rustic:wildberry_juice)                                                         = Wildberry Juice
grapejuice                                        (rustic:grape_juice)                                                             = Grape Juice
applejuice                                        (rustic:apple_juice)                                                             = Apple Juice
alewort                                           (rustic:ale_wort)                                                                = Ale Wort
ale                                               ([no block])                                                                     = Ale
cider                                             ([no block])                                                                     = Cider
ironwine                                          ([no block])                                                                     = Iron Wine
mead                                              ([no block])                                                                     = Mead
wildberrywine                                     ([no block])                                                                     = Wildberry Wine
wine                                              ([no block])                                                                     = Wine
cinderfire_wort                                   (rusticthaumaturgy:cinderfire_wort)                                              = Cinderfire Wort
shimmerdew_wort                                   (rusticthaumaturgy:shimmerdew_wort)                                              = Shimmerdew Wort
viscous_wort                                      (rusticthaumaturgy:viscous_wort)                                                 = Viscous Wort
cinderfire_whiskey                                (rusticthaumaturgy:cinderfire_whiskey)                                           = Cinderfire Whiskey
shimmerdew_spirits                                (rusticthaumaturgy:shimmerdew_spirits)                                           = Shimmerdew Spirits
viscous_brew                                      (rusticthaumaturgy:viscous_brew)                                                 = Viscous Brew
soulium                                           (mysticalagradditions:molten_soulium)                                            = Molten Soulium
base_essence                                      (mysticalagradditions:molten_base_essence)                                       = Molten Base Essence
inferium                                          (mysticalagradditions:molten_inferium)                                           = Molten Inferium
prudentium                                        (mysticalagradditions:molten_prudentium)                                         = Molten Prudentium
intermedium                                       (mysticalagradditions:molten_intermedium)                                        = Molten Intermedium
superium                                          (mysticalagradditions:molten_superium)                                           = Molten Superium
supremium                                         (mysticalagradditions:molten_supremium)                                          = Molten Supremium
molten_blood_infused_iron                         (bloodarsenal:bloodarsenal.molten_blood_infused_iron)                            = Molten Blood Infused Iron
mutagen                                           (gendustry:mutagen)                                                              = Mutagen
liquiddna                                         (gendustry:liquiddna)                                                            = Liquid DNA
protein                                           (gendustry:protein)                                                              = Protein
fluidedmana                                       (extrabotany:fluidedmana)                                                        = Fluided Mana
umbrium                                           (defiledlands:molten_umbrium)                                                    = Molten Umbrium
binnie.growth.medium                              (genetics:binnie.growth.medium)                                                  = Growth Medium
binnie.bacteria                                   (genetics:binnie.bacteria)                                                       = Bacteria
binnie.bacteria.poly                              (genetics:binnie.bacteria.poly)                                                  = Polymerising Bacteria
binnie.dna.raw                                    (genetics:binnie.dna.raw)                                                        = Raw DNA
binnie.bacteria.vector                            (genetics:binnie.bacteria.vector)                                                = Bacteria Vector
binnie.sap                                        (extratrees:binnie.sap)                                                          = Sap
binnie.resin                                      (extratrees:binnie.resin)                                                        = Resin
binnie.latex                                      (extratrees:binnie.latex)                                                        = Latex
binnie.turpentine                                 (extratrees:binnie.turpentine)                                                   = Turpentine
binnie.juice.apple                                (extratrees:binnie.juice.apple)                                                  = Apple Juice
binnie.juice.apricot                              (extratrees:binnie.juice.apricot)                                                = Apricot Juice
binnie.juice.banana                               (extratrees:binnie.juice.banana)                                                 = Banana Juice
binnie.juice.cherry                               (extratrees:binnie.juice.cherry)                                                 = Cherry Juice
binnie.juice.elderberry                           (extratrees:binnie.juice.elderberry)                                             = Elderberry Juice
binnie.juice.lemon                                (extratrees:binnie.juice.lemon)                                                  = Lemon Juice
binnie.juice.lime                                 (extratrees:binnie.juice.lime)                                                   = Lime Juice
binnie.juice.orange                               (extratrees:binnie.juice.orange)                                                 = Orange Juice
binnie.juice.peach                                (extratrees:binnie.juice.peach)                                                  = Peach Juice
binnie.juice.plum                                 (extratrees:binnie.juice.plum)                                                   = Plum Juice
binnie.juice.carrot                               (extratrees:binnie.juice.carrot)                                                 = Carrot Juice
binnie.juice.tomato                               (extratrees:binnie.juice.tomato)                                                 = Tomato Juice
binnie.juice.cranberry                            (extratrees:binnie.juice.cranberry)                                              = Cranberry Juice
binnie.juice.grapefruit                           (extratrees:binnie.juice.grapefruit)                                             = Grapefruit Juice
binnie.juice.olive                                (extratrees:binnie.juice.olive)                                                  = Olive Oil
binnie.juice.pineapple                            (extratrees:binnie.juice.pineapple)                                              = Pineapple Juice
binnie.juice.pear                                 (extratrees:binnie.juice.pear)                                                   = Pear Juice
binnie.juice.white.grape                          (extratrees:binnie.juice.white.grape)                                            = White Grape Juice
binnie.juice.red.grape                            (extratrees:binnie.juice.red.grape)                                              = Red Grape Juice
binnie.cider.apple                                (extratrees:binnie.cider.apple)                                                  = Cider
binnie.wine.apricot                               (extratrees:binnie.wine.apricot)                                                 = Apricot Wine
binnie.wine.banana                                (extratrees:binnie.wine.banana)                                                  = Banana Wine
binnie.wine.cherry                                (extratrees:binnie.wine.cherry)                                                  = Cherry Wine
binnie.wine.elderberry                            (extratrees:binnie.wine.elderberry)                                              = Elderberry Wine
binnie.cider.peach                                (extratrees:binnie.cider.peach)                                                  = Peach Cider
binnie.ciderpear                                  (extratrees:binnie.ciderpear)                                                    = Pear Cider
binnie.wine.plum                                  (extratrees:binnie.wine.plum)                                                    = Plum Wine
binnie.wine.carrot                                (extratrees:binnie.wine.carrot)                                                  = Carrot Wine
binnie.wine.white                                 (extratrees:binnie.wine.white)                                                   = White Wine
binnie.wine.red                                   (extratrees:binnie.wine.red)                                                     = Red Wine
binnie.wine.sparkling                             (extratrees:binnie.wine.sparkling)                                               = Sparkling Wine
binnie.wine.agave                                 (extratrees:binnie.wine.agave)                                                   = Agave Wine
binnie.fermented.potatoes                         (extratrees:binnie.fermented.potatoes)                                           = Fermented Potatoes
binnie.wine.citrus                                (extratrees:binnie.wine.citrus)                                                  = Citrus Wine
binnie.wine.cranberry                             (extratrees:binnie.wine.cranberry)                                               = Cranberry Wine
binnie.wine.pineapple                             (extratrees:binnie.wine.pineapple)                                               = Pineapple Wine
binnie.wine.tomato                                (extratrees:binnie.wine.tomato)                                                  = Tomato Wine
binnie.juice                                      (extratrees:binnie.juice)                                                        = Fruit Wine
binnie.beer.ale                                   (extratrees:binnie.beer.ale)                                                     = Ale
binnie.beer.lager                                 (extratrees:binnie.beer.lager)                                                   = Lager
binnie.beer.wheat                                 (extratrees:binnie.beer.wheat)                                                   = Wheat Beer
binnie.beer.rye                                   (extratrees:binnie.beer.rye)                                                     = Rye Beer
binnie.beer.corn                                  (extratrees:binnie.beer.corn)                                                    = Corn Beer
binnie.beer.stout                                 (extratrees:binnie.beer.stout)                                                   = Stout
binnie.mash.grain                                 (extratrees:binnie.mash.grain)                                                   = Fermented Grain Mash
binnie.mash.wheat                                 (extratrees:binnie.mash.wheat)                                                   = Fermented Wheat Mash
binnie.mash.rye                                   (extratrees:binnie.mash.rye)                                                     = Fermented Rye Mash
binnie.mash.corn                                  (extratrees:binnie.mash.corn)                                                    = Fermented Corn Mash
binnie.spirit.neutral                             (extratrees:binnie.spirit.neutral)                                               = Neutral Spirit
binnie.vodka                                      (extratrees:binnie.vodka)                                                        = Vodka
binnie.rum.white                                  (extratrees:binnie.rum.white)                                                    = White Rum
binnie.rum.dark                                   (extratrees:binnie.rum.dark)                                                     = Dark Rum
binnie.whiskey                                    (extratrees:binnie.whiskey)                                                      = Whiskey
binnie.whiskey.corn                               (extratrees:binnie.whiskey.corn)                                                 = Bourbon
binnie.whiskey.rye                                (extratrees:binnie.whiskey.rye)                                                  = Rye Whiskey
binnie.whiskey.wheat                              (extratrees:binnie.whiskey.wheat)                                                = Wheat Whiskey
binnie.wine.fortified                             (extratrees:binnie.wine.fortified)                                               = Fortified Wine
binnie.tequila                                    (extratrees:binnie.tequila)                                                      = Tequila
binnie.brandy.grape                               (extratrees:binnie.brandy.grape)                                                 = Brandy
binnie.brandy.apple                               (extratrees:binnie.brandy.apple)                                                 = Apple Brandy
binnie.brandy.pear                                (extratrees:binnie.brandy.pear)                                                  = Pear Brandy
binnie.brandy.apricot                             (extratrees:binnie.brandy.apricot)                                               = Apricot Brandy
binnie.brandy.plum                                (extratrees:binnie.brandy.plum)                                                  = Plum Brandy
binnie.brandy.cherry                              (extratrees:binnie.brandy.cherry)                                                = Cherry Brandy
binnie.brandy.elderberry                          (extratrees:binnie.brandy.elderberry)                                            = Elderberry Brandy
binnie.brandy.citrus                              (extratrees:binnie.brandy.citrus)                                                = Citrus Brandy
binnie.brandy.fruit                               (extratrees:binnie.brandy.fruit)                                                 = Fruit Brandy
binnie.spirit.sugarcane                           (extratrees:binnie.spirit.sugarcane)                                             = Cachaca
binnie.spirit.gin                                 (extratrees:binnie.spirit.gin)                                                   = Gin
binnie.liquor.apple                               (extratrees:binnie.liquor.apple)                                                 = Apple Liquor
binnie.liquor.pear                                (extratrees:binnie.liquor.pear)                                                  = Pear Liquor
binnie.liquor.cherry                              (extratrees:binnie.liquor.cherry)                                                = Cherry Liquor
binnie.liquor.elderberry                          (extratrees:binnie.liquor.elderberry)                                            = Elderberry Liquor
binnie.liquor.apricot                             (extratrees:binnie.liquor.apricot)                                               = Apricot Liquor
binnie.liquor.fruit                               (extratrees:binnie.liquor.fruit)                                                 = Fruit Liquor
binnie.liqueur.almond                             (extratrees:binnie.liqueur.almond)                                               = Almond Liqueur
binnie.liqueur.orange                             (extratrees:binnie.liqueur.orange)                                               = Orange Liqueur
binnie.liqueur.banana                             (extratrees:binnie.liqueur.banana)                                               = Banana Liqueur
binnie.liqueur.chocolate                          (extratrees:binnie.liqueur.chocolate)                                            = Chocolate Liqueur
binnie.liqueur.mint                               (extratrees:binnie.liqueur.mint)                                                 = Mint Liqueur
binnie.liqueur.hazelnut                           (extratrees:binnie.liqueur.hazelnut)                                             = Hazelnut Liqueur
binnie.liqueur.cinnamon                           (extratrees:binnie.liqueur.cinnamon)                                             = Cinnamon Liqueur
binnie.liqueur.coffee                             (extratrees:binnie.liqueur.coffee)                                               = Coffee Liqueur
