#This is a simple dump of all molten liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

fierymetal                                        (twilightforest:molten_fierymetal)                                               = ÈÛÈÚ³ãÌú
scorched                                          (contenttweaker:scorched)                                                        = ÈÛÈÚ¸ßÂ¯×©
modularium                                        (contenttweaker:modularium)                                                      = ÈÛÈÚÄ£¿é»¯ºÏ½ğ
meteor                                            (contenttweaker:meteor)                                                          = ÈÛÈÚÔÉĞÇ
chromium                                          (jaopca:fluid_moltenchromium)                                                    = ÈÛÈÚ¸õ
stainless_steel                                   (contenttweaker:stainless_steel)                                                 = ÈÛÈÚ²»Ğâ¸Ö
protonium                                         (contenttweaker:protonium)                                                       = ³¬ÃÜÖÊ×ÓÁ÷Ìå
electronium                                       (contenttweaker:electronium)                                                     = Õ³ĞÔµç×ÓÁ÷ÖÊ
crimsonite                                        (contenttweaker:crimsonite)                                                      = ĞÉºì½¬Òº
aqualite                                          (jaopca:fluid_moltenaqualite)                                                    = ÈÛÈÚË®»ª
manganese                                         (jaopca:fluid_moltenmanganese)                                                   = ÈÛÈÚÃÌÌú
manganese_steel                                   (contenttweaker:manganese_steel)                                                 = ÈÛÈÚÃÌ¸Ö
mithril                                           (jaopca:fluid_moltenmithril)                                                     = ÈÛÈÚÃØÒø
durasteel                                         (contenttweaker:durasteel)                                                       = ÈÛÈÚÄÍ¸Ö
aeonsteel                                         (contenttweaker:aeonsteel)                                                       = ÈÛÈÚºã¸Ö
chromasteel                                       (contenttweaker:chromasteel)                                                     = ÈÛÈÚìÅ¸Ö
spectre                                           (contenttweaker:spectre)                                                         = fluid.spectre
alumite                                           (plustic:plustic.molten_alumite)                                                 = ÈÛÈÚÄÍËáÂÁ
osgloglas                                         (plustic:plustic.molten_osgloglas)                                               = ÈÛÈÚï°Ó«ºÚê×ºÏ½ğ
osmiridium                                        (plustic:plustic.molten_osmiridium)                                              = ÈÛÈÚÒ¿ï°ºÏ½ğ
sky_stone                                         ([no block])                                                                     = ÈÛÈÚÔÉÊ¯
fluix_steel                                       ([no block])                                                                     = ÈÛÈÚ¸£Â³ÒÁ¿ËË¹¸Ö
starmetal                                         (plustic:plustic.molten_starmetal)                                               = ÈÛÈÚĞÇ»Ô
crystal_matrix                                    ([no block])                                                                     = ²»¶¨ĞÍË®¾§¾ØÕó
neutronium                                        ([no block])                                                                     = ³¬ÃÜÖĞ×ÓÁ÷Ìå
infinity_metal                                    ([no block])                                                                     = ÎŞ¾¡Ó¿Á÷
bound_metal                                       ([no block])                                                                     = ÈÛÈÚÊø¸¿½ğÊô
sentient_metal                                    ([no block])                                                                     = ¸ĞÖªÁ÷ÖÊ
livingrock                                        ([no block])                                                                     = ÈÛÈÚ»îÊ¯
manasteel                                         ([no block])                                                                     = ÈÛÈÚÄ§Á¦¸Ö
terrasteel                                        ([no block])                                                                     = ÈÛÈÚÌ©À­¸Ö
elementium                                        ([no block])                                                                     = ÈÛÈÚÔ´ÖÊ¸Ö
draconium                                         ([no block])                                                                     = ÈÛÈÚÁúËØ
wyvern_metal                                      ([no block])                                                                     = ·ÉÁú¾ÛºÏÎï
draconic_metal                                    ([no block])                                                                     = ÉñÁú¾ÛºÏÎï
chaotic_metal                                     ([no block])                                                                     = »ìãç½â¹¹ÖÊ
iridium                                           (tconstruct:molten_iridium)                                                      = ÈÛÈÚÒ¿
osmium                                            (plustic:plustic.molten_osmium)                                                  = ÈÛÈÚï°
refined_obsidian                                  ([no block])                                                                     = ÈÛÈÚÇ¿»¯ºÚê×Ê¯
refined_glowstone                                 ([no block])                                                                     = ÈÛÈÚÇ¿»¯Ó«Ê¯
dark_matter                                       ([no block])                                                                     = °µÁ÷ÖÊ
red_matter                                        ([no block])                                                                     = ºìÁ÷ÖÊ
fluxed_electrum                                   ([no block])                                                                     = ÈÛÈÚºìÊ¯çúçê½ğ
gelid_enderium                                    ([no block])                                                                     = ÈÛÈÚ¼«º®Ä©Ó°
thaumium                                          (plustic:plustic.molten_thaumium)                                                = ÈÛÈÚÉñÃØ
void_metal                                        ([no block])                                                                     = ÈÛÈÚĞé¿Õ½ğÊô
primal_metal                                      ([no block])                                                                     = ÈÛÈÚÔª½ğ
tin                                               (tconstruct:molten_tin)                                                          = ÈÛÈÚÎı
aluminum                                          (tconstruct:molten_aluminum)                                                     = ÈÛÈÚÂÁ
nickel                                            (tconstruct:molten_nickel)                                                       = ÈÛÈÚÄø
platinum                                          (tconstruct:molten_platinum)                                                     = ÈÛÈÚ²¬
invar                                             (tconstruct:molten_invar)                                                        = ÈÛÈÚÒó¸Ö
constantan                                        ([no block])                                                                     = ÈÛÈÚ¿µÍ­
signalum                                          (tconstruct:molten_signalum)                                                     = ÈÛÈÚĞÅËØ
lumium                                            (tconstruct:molten_lumium)                                                       = ÈÛÈÚÁ÷Ã÷
enderium                                          (tconstruct:molten_enderium)                                                     = ÈÛÈÚÄ©Ó°
gravitite                                         (tinkersaether:molten_gravitite)                                                 = ÈÛÈÚÖØÁ¦¾§
valkyrie                                          (tinkersaether:molten_valkyrie)                                                  = ÈÛÈÚÅ®ÎäÉñ½ğÊô
tiberium_fluid                                    (taiga:molten_tiberium_fluid)                                                    = ÈÛÈÚÌ©²®ÀûÑÇ
aurorium_fluid                                    (taiga:molten_aurorium_fluid)                                                    = ÈÛÈÚ¼«¹â½ğÊô
prometheum_fluid                                  (taiga:molten_prometheum_fluid)                                                  = ÈÛÈÚÆÕÂŞÄ·
duranite_fluid                                    (taiga:molten_duranite_fluid)                                                    = ÈÛÈÚ¶ÅÀ¼ÌØ
valyrium_fluid                                    (taiga:molten_valyrium_fluid)                                                    = ÈÛÈÚÍßÀ×ÀûÑÇ
vibranium_fluid                                   (taiga:molten_vibranium_fluid)                                                   = ÈÛÈÚÕñ½ğ
terrax_fluid                                      (taiga:molten_terrax_fluid)                                                      = ÈÛÈÚµØÄ¸
palladium_fluid                                   (taiga:molten_palladium_fluid)                                                   = ÈÛÈÚîÙ
uru_fluid                                         (taiga:molten_uru_fluid)                                                         = ÈÛÈÚÎí½ğ
eezo_fluid                                        (taiga:molten_eezo_fluid)                                                        = ÈÛÈÚÁãËØ
basalt_fluid                                      (taiga:molten_basalt_fluid)                                                      = ÈÛÈÚĞşÎäÑÒ
triberium_fluid                                   (taiga:molten_triberium_fluid)                                                   = ÈÛÈÚÌ©²®Àû°²
fractum_fluid                                     (taiga:molten_fractum_fluid)                                                     = ÈÛÈÚËé½ğ
violium_fluid                                     (taiga:molten_violium_fluid)                                                     = ÈÛÈÚÉªÀ¶
proxii_fluid                                      (taiga:molten_proxii_fluid)                                                      = ÈÛÈÚÆÕÂŞ¿ËÏ£
tritonite_fluid                                   (taiga:molten_tritonite_fluid)                                                   = ÈÛÈÚäö½ğ
ignitz_fluid                                      (taiga:molten_ignitz_fluid)                                                      = ÈÛÈÚÑæ¾§
imperomite_fluid                                  (taiga:molten_imperomite_fluid)                                                  = ÈÛÈÚµÛ½ğ
solarium_fluid                                    (taiga:molten_solarium_fluid)                                                    = ÈÛÈÚÑô¹âºÏ½ğ
nihilite_fluid                                    (taiga:molten_nihilite_fluid)                                                    = ÈÛÈÚĞé½ğ
adamant_fluid                                     (taiga:molten_adamant_fluid)                                                     = ÈÛÈÚ¾«½ğ
dyonite_fluid                                     (taiga:molten_dyonite_fluid)                                                     = ÈÛÈÚÁÒ½ğ
nucleum_fluid                                     (taiga:molten_nucleum_fluid)                                                     = ÈÛÈÚ·ø¹âºÏ½ğ
lumix_fluid                                       (taiga:molten_lumix_fluid)                                                       = ÈÛÈÚÁ÷¹âºÏ½ğ
seismum_fluid                                     (taiga:molten_seismum_fluid)                                                     = ÈÛÈÚµØ¶¯ºÏ½ğ
astrium_fluid                                     (taiga:molten_astrium_fluid)                                                     = ÈÛÈÚê×½ğ
niob_fluid                                        (taiga:molten_niob_fluid)                                                        = ÈÛÈÚîê
yrdeen_fluid                                      (taiga:molten_yrdeen_fluid)                                                      = ÈÛÈÚÔ­½ğ
meteorite_fluid                                   (taiga:molten_meteorite_fluid)                                                   = ÈÛÈÚÔÉÌú
obsidiorite_fluid                                 (taiga:molten_obsidiorite_fluid)                                                 = ÈÛÈÚºÚÔÉÌú
xu_evil_metal                                     ([no block])                                                                     = ¶ñÄ§¹à×¢Ìú
xu_enchanted_metal                                ([no block])                                                                     = ¸½Ä§½ğÊô
xu_demonic_metal                                  ([no block])                                                                     = ÈÛÈÚ¶ñÄ§½ğÊô
molten_blood_infused_iron                         (bloodarsenal:bloodarsenal.molten_blood_infused_iron)                            = ÈÛÈÚ×¢ÑªÌú
moltenabyssalnite                                 (acintegration:moltenabyssalnite)                                                = ÈÛÈÚÔ¨ËØ
moltenrefinedcoralium                             (acintegration:moltencoralium)                                                   = ÈÛÈÚ¾«Á¶Éºº÷
moltendreadium                                    (acintegration:moltendreadium)                                                   = ÈÛÈÚ¾åÖÊ
umbrium                                           (defiledlands:molten_umbrium)                                                    = ÈÛÈÚÓ°ËØ
mirion                                            (plustic:plustic.molten_mirion)                                                  = ÈÛÈÚÔÌÄ§½á¾§
emerald                                           (tconstruct:molten_emerald)                                                      = ÈÛÈÚÂÌ±¦Ê¯
